readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-22 00:00:13,1100983828.0,0.39,241.87,0.55,1.65,241.56,242.26,241.81,418.25,419.04,419.52,418.91,1.36,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.1,1103474196.0,1096181350.0,,1,4.6,86.1,0,2025-09-22 00:00:13,0,0,0,0
2025-09-22 00:00:58,1100983828.0,0.39,241.72,0.55,1.65,240.62,242.42,242.13,417.57,419.37,419.07,418.69,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.1,1103474196.0,1096181350.0,,1,4.6,86.2,0,2025-09-22 00:00:58,0,0,0,0
2025-09-22 00:01:43,1100989071.0,0.39,241.36,0.55,1.64,240.26,242.14,241.7,416.66,419.24,418.27,418.06,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.32,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103479439.0,1096181350.0,,1,4.6,86.3,0,2025-09-22 00:01:43,0,0,0,0
2025-09-22 00:02:28,1100989071.0,0.39,241.11,0.55,1.64,239.56,242.04,241.74,416.42,419.0,417.43,417.63,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.39,0.32,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103479439.0,1096181350.0,,1,4.6,86.4,0,2025-09-22 00:02:28,0,0,0,0
2025-09-22 00:03:13,1100994314.0,0.39,241.31,0.55,1.65,240.56,241.59,241.8,416.86,418.82,418.22,417.95,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103484682.0,1096181350.0,,1,4.6,86.4,0,2025-09-22 00:03:13,0,0,0,0
2025-09-22 00:03:58,1100994314.0,0.39,241.48,0.55,1.65,241.03,241.78,241.64,416.98,420.01,417.77,418.23,1.36,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103484682.0,1096181350.0,,1,4.7,86.5,0,2025-09-22 00:03:58,0,0,0,0
2025-09-22 00:04:43,1100999557.0,0.39,241.62,0.55,1.65,241.11,241.97,241.8,417.42,419.66,418.43,418.45,1.36,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103484682.0,1096181350.0,,1,4.7,86.6,0,2025-09-22 00:04:43,0,0,0,0
2025-09-22 00:05:28,1100999557.0,0.39,241.52,0.55,1.65,241.04,241.84,241.69,417.04,419.57,418.36,418.38,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103489925.0,1096181350.0,,1,4.7,86.5,1,2025-09-22 00:05:28,0,0,1,0
2025-09-22 00:06:13,1101004800.0,0.39,241.52,0.55,1.65,241.06,242.01,241.5,417.02,419.4,418.55,418.33,1.35,0.29,0.0,0.32,0.07,0.0,0.06,0.06,0.0,0.0,0.4,0.33,0.07,0.0,0.99,0.98,1.0,1.0,50.0,1103489925.0,1096181350.0,,1,5.2,87.9,1,2025-09-22 00:06:13,0,0,1,0
2025-09-22 00:06:58,1101020529.0,3.04,239.8,5.69,17.08,238.25,240.6,240.55,413.47,417.35,415.2,415.38,7.52,4.81,4.75,1.54,0.76,0.75,2.65,0.91,0.87,0.86,4.09,1.79,1.16,1.14,0.75,0.86,0.65,0.65,50.1,1103516140.0,1096223293.0,,1,5.4,89.8,1,2025-09-22 00:06:58,1,0,1,0
2025-09-22 00:07:43,1101041500.0,3.05,239.57,5.69,17.07,238.22,240.33,240.16,413.45,416.06,415.31,414.88,7.54,4.8,4.73,1.55,0.75,0.75,2.63,0.91,0.87,0.85,4.09,1.8,1.15,1.14,0.76,0.86,0.65,0.66,50.1,1103547597.0,1096254751.0,,1,5.5,90.5,0,2025-09-22 00:07:43,1,0,0,0
