readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-25 00:00:42,36.45,3.14,231.34,5.71,17.12,232.25,229.83,231.96,400.72,401.45,399.9,400.7,6.72,4.79,5.61,1.33,0.74,1.07,2.37,0.82,0.82,0.73,3.96,1.56,1.1,1.3,0.8,0.85,0.67,0.83,50.0,43.11,20.91,1,1,4.7,78.7,0,2025-09-25 00:00:42,1,0,0,0
2025-09-25 00:01:27,36.49,3.12,231.08,5.69,17.07,231.87,229.7,231.67,399.33,402.75,398.55,400.26,6.68,4.78,5.6,1.31,0.73,1.07,2.37,0.82,0.82,0.73,3.95,1.55,1.1,1.3,0.8,0.85,0.67,0.82,49.9,43.16,20.94,1,1,4.2,74.2,0,2025-09-25 00:01:27,1,0,0,0
2025-09-25 00:02:12,36.52,3.1,231.12,5.67,17.0,232.0,230.04,231.34,399.91,401.63,399.38,400.27,6.64,4.79,5.57,1.31,0.73,1.06,2.37,0.81,0.82,0.74,3.93,1.54,1.1,1.29,0.79,0.85,0.67,0.82,49.9,43.2,20.97,1,1,4.1,70.1,0,2025-09-25 00:02:12,1,0,0,0
2025-09-25 00:02:57,36.56,3.12,229.35,5.69,17.06,229.75,228.19,230.12,396.3,398.84,396.56,397.25,6.7,4.77,5.59,1.31,0.74,1.07,2.32,0.8,0.8,0.72,3.91,1.54,1.09,1.29,0.8,0.85,0.68,0.83,49.9,43.25,20.99,1,1,3.9,67.1,0,2025-09-25 00:02:57,1,0,0,0
2025-09-25 00:03:42,36.6,3.09,228.8,5.65,16.94,229.14,227.68,229.58,396.02,397.68,395.14,396.22,6.64,4.74,5.56,1.3,0.73,1.06,2.29,0.79,0.79,0.71,3.88,1.52,1.08,1.28,0.8,0.85,0.68,0.83,49.9,43.3,21.02,1,1,3.4,65.4,0,2025-09-25 00:03:42,1,0,0,0
2025-09-25 00:04:27,36.64,3.09,229.57,5.65,16.96,230.3,229.09,229.33,397.47,398.71,396.68,397.65,6.58,4.82,5.55,1.3,0.75,1.04,2.32,0.78,0.81,0.73,3.9,1.52,1.11,1.27,0.8,0.86,0.68,0.82,49.9,43.35,21.05,1,1,3.3,64.0,0,2025-09-25 00:04:27,1,0,0,0
2025-09-25 00:05:12,36.68,3.09,229.96,5.65,16.96,230.69,229.5,229.7,398.05,399.39,397.45,398.25,6.6,4.81,5.55,1.3,0.74,1.04,2.33,0.79,0.82,0.73,3.9,1.52,1.1,1.27,0.8,0.86,0.67,0.82,49.9,43.4,21.08,1,1,3.3,62.5,0,2025-09-25 00:05:12,1,0,0,0
2025-09-25 00:05:57,36.72,3.08,230.07,5.64,16.93,230.87,229.57,229.78,398.12,399.89,397.44,398.47,6.6,4.8,5.53,1.3,0.74,1.04,2.33,0.79,0.82,0.73,3.9,1.52,1.1,1.27,0.8,0.86,0.67,0.82,49.9,43.45,21.11,1,1,3.2,61.1,0,2025-09-25 00:05:57,1,0,0,0
2025-09-25 00:06:42,36.76,3.09,230.05,5.66,16.97,231.3,228.99,229.87,398.42,399.26,397.66,398.49,6.67,4.79,5.51,1.32,0.73,1.05,2.33,0.8,0.82,0.71,3.91,1.54,1.1,1.27,0.8,0.85,0.66,0.83,49.9,43.5,21.14,1,1,3.1,59.5,0,2025-09-25 00:06:42,1,0,0,0
2025-09-25 00:07:27,36.79,3.08,231.53,5.66,16.97,233.04,230.07,231.49,401.67,400.99,400.38,400.84,6.67,4.78,5.52,1.32,0.72,1.05,2.38,0.82,0.83,0.73,3.93,1.55,1.1,1.28,0.79,0.85,0.65,0.82,49.9,43.55,21.17,1,1,2.6,58.0,0,2025-09-25 00:07:27,1,0,0,0
2025-09-25 00:08:12,36.83,3.09,231.34,5.65,16.95,233.66,228.66,231.72,400.65,400.9,400.49,400.68,6.65,4.68,5.62,1.3,0.7,1.08,2.38,0.84,0.81,0.73,3.93,1.55,1.07,1.3,0.79,0.84,0.66,0.83,49.9,43.59,21.2,1,1,2.5,57.2,0,2025-09-25 00:08:12,1,0,0,0
