readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status
2025-09-18 00:00:28,117,0.06,239.32,0.09,0.27,234.69,235.64,247.62,407.32,418.57,417.8,414.56,0.0,0.27,0.0,,,,0.0,,,,0.06,,,,,,1.0,,49.96,0,147,,1,3.3,71.5,0,2025-09-18 00:00:28,0,1,0
2025-09-18 00:01:13,117,0.07,239.52,0.09,0.27,234.94,235.69,247.93,407.58,418.87,418.23,414.83,0.0,0.27,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,3.3,73.4,0,2025-09-18 00:01:13,0,1,0
2025-09-18 00:01:58,117,0.07,241.82,0.09,0.28,236.61,237.16,251.7,410.3,423.43,422.96,418.89,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,3.4,74.9,0,2025-09-18 00:01:58,0,1,0
2025-09-18 00:02:43,117,0.07,241.88,0.09,0.28,236.8,236.92,251.92,410.25,423.41,423.31,418.99,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.97,0,147,,1,3.4,76.1,0,2025-09-18 00:02:43,0,1,0
2025-09-18 00:03:28,117,0.07,241.66,0.09,0.28,236.51,236.9,251.78,409.79,423.16,422.86,418.61,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.95,0,147,,1,3.4,77.1,0,2025-09-18 00:03:28,0,1,0
2025-09-18 00:04:13,117,0.07,242.27,0.09,0.28,236.14,235.9,254.77,408.81,425.04,425.25,419.7,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.93,0,147,,1,3.4,77.9,0,2025-09-18 00:04:13,0,1,0
2025-09-18 00:04:58,117,0.07,242.47,0.09,0.28,235.91,236.73,254.77,409.32,425.75,425.05,419.99,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.94,0,147,,1,3.5,79.0,0,2025-09-18 00:04:58,0,1,0
2025-09-18 00:05:43,117,0.07,242.45,0.09,0.28,236.1,236.6,254.79,409.26,425.63,425.14,420.01,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.94,0,147,,1,3.9,80.3,0,2025-09-18 00:05:43,0,1,0
2025-09-18 00:06:28,117,0.07,242.42,0.09,0.28,236.16,236.52,254.58,409.35,425.47,425.1,419.98,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.94,0,147,,1,3.9,81.6,0,2025-09-18 00:06:28,0,1,0
2025-09-18 00:07:13,117,0.07,242.35,0.09,0.28,236.28,236.37,254.4,409.33,425.11,425.04,419.83,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.92,0,147,,1,3.9,82.8,0,2025-09-18 00:07:13,0,1,0
2025-09-18 00:07:58,117,0.07,242.42,0.09,0.28,235.96,236.24,255.14,408.98,425.52,425.34,419.95,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.92,0,147,,1,4.0,84.4,0,2025-09-18 00:07:58,0,1,0
2025-09-18 00:08:43,117,0.07,242.18,0.09,0.28,236.36,236.4,253.78,409.42,424.6,424.56,419.53,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.94,0,147,,1,4.1,86.2,0,2025-09-18 00:08:43,0,1,0
2025-09-18 00:09:28,117,0.07,242.23,0.09,0.28,236.29,236.42,253.98,409.38,424.79,424.68,419.62,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.92,0,147,,1,4.1,87.5,0,2025-09-18 00:09:28,0,1,0
2025-09-18 00:10:13,117,0.07,242.32,0.09,0.28,236.51,236.54,253.91,409.67,424.83,424.81,419.77,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.94,0,147,,1,4.2,88.6,0,2025-09-18 00:10:13,0,1,0
2025-09-18 00:10:58,117,0.07,242.4,0.09,0.28,236.54,236.72,253.93,409.86,425.0,424.85,419.9,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.96,0,147,,1,4.2,89.4,0,2025-09-18 00:10:58,0,1,0
2025-09-18 00:11:43,117,0.07,242.7,0.09,0.28,236.19,236.64,255.46,409.31,426.27,425.72,420.43,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,4.7,90.2,0,2025-09-18 00:11:43,0,1,0
2025-09-18 00:12:28,117,0.07,242.19,0.09,0.28,236.29,237.74,252.53,410.51,424.67,423.33,419.5,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.97,0,147,,1,4.8,90.8,0,2025-09-18 00:12:28,0,1,0
2025-09-18 00:13:13,117,0.07,242.21,0.09,0.28,236.39,237.67,252.58,410.55,424.63,423.54,419.57,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,4.8,91.4,0,2025-09-18 00:13:13,0,1,0
2025-09-18 00:13:58,117,0.07,242.41,0.09,0.28,236.97,237.66,252.61,411.04,424.65,424.06,419.92,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,4.9,91.9,0,2025-09-18 00:13:58,0,1,0
2025-09-18 00:14:43,117,0.07,242.47,0.09,0.28,236.81,237.88,252.65,411.16,424.88,424.03,420.02,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.99,0,147,,1,5.0,92.4,1,2025-09-18 00:14:43,0,1,1
2025-09-18 00:15:28,117,0.07,242.36,0.09,0.28,236.98,237.85,252.36,411.13,424.59,423.77,419.83,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.98,0,147,,1,5.0,92.7,1,2025-09-18 00:15:28,0,1,1
2025-09-18 00:16:13,117,0.07,242.58,0.09,0.28,237.23,237.74,252.76,411.34,424.85,424.24,420.17,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.99,0,147,,1,5.5,93.0,1,2025-09-18 00:16:13,0,1,1
2025-09-18 00:16:58,117,3.26,239.08,5.8,17.48,233.29,235.9,248.06,406.33,419.17,416.93,414.14,6.8,4.53,6.14,,,,2.62,,,,4.19,,,,0.78,0.77,0.81,0.76,49.96,0,147,,1,5.5,93.3,0,2025-09-18 00:16:58,1,0,0
2025-09-18 00:17:43,117,3.29,239.72,5.88,17.57,233.15,234.73,251.27,405.2,420.97,419.62,415.26,6.72,4.49,6.35,,,,2.59,,,,4.23,,,,0.78,0.76,0.82,0.76,49.95,0,147,,1,5.5,93.1,0,2025-09-18 00:17:43,1,0,0
2025-09-18 00:18:28,117,3.27,239.61,5.83,17.48,232.95,234.74,251.27,404.91,420.98,419.33,415.07,6.71,4.47,6.3,,,,2.64,,,,4.22,,,,0.78,0.76,0.83,0.76,49.95,0,147,,1,5.4,91.6,0,2025-09-18 00:18:28,1,0,0
2025-09-18 00:19:13,117,3.27,239.59,5.86,17.58,232.88,234.93,250.97,405.14,420.83,419.11,415.05,6.77,4.49,6.33,,,,2.63,,,,4.21,,,,0.79,0.76,0.83,0.76,49.95,0,147,,1,5.0,88.9,0,2025-09-18 00:19:13,1,0,0
2025-09-18 00:19:58,117,3.28,239.59,5.86,17.57,233.36,234.42,251.0,405.11,420.47,419.56,415.05,6.74,4.5,6.33,,,,2.6,,,,4.21,,,,0.78,0.76,0.82,0.76,49.94,0,147,,1,4.9,85.2,1,2025-09-18 00:19:58,1,0,1
2025-09-18 00:20:43,117,3.26,241.76,5.84,17.63,235.95,235.44,253.89,408.24,423.87,424.31,418.81,6.71,4.44,6.49,,,,2.7,,,,4.28,,,,0.77,0.74,0.82,0.75,49.94,0,147,,1,4.9,82.4,0,2025-09-18 00:20:43,1,0,0
2025-09-18 00:21:28,117,3.27,242.01,5.86,17.59,235.85,235.03,255.15,407.79,424.63,425.33,419.25,6.63,4.44,6.52,,,,2.7,,,,4.25,,,,0.77,0.73,0.83,0.75,49.96,0,147,,1,4.8,78.5,0,2025-09-18 00:21:28,1,0,0
2025-09-18 00:22:13,117,3.26,241.84,5.87,17.56,235.58,235.1,254.84,407.62,424.42,424.83,418.95,6.65,4.38,6.53,,,,2.69,,,,4.26,,,,0.77,0.73,0.82,0.75,49.95,0,147,,1,4.7,74.4,0,2025-09-18 00:22:13,1,0,0
2025-09-18 00:22:58,117,3.25,241.72,5.84,17.53,236.03,235.04,254.09,407.96,423.71,424.55,418.74,6.67,4.4,6.46,,,,2.67,,,,4.26,,,,0.77,0.74,0.83,0.76,49.95,0,147,,1,4.2,70.6,0,2025-09-18 00:22:58,1,0,0
2025-09-18 00:23:43,117,0.07,243.6,0.09,0.28,238.74,235.72,256.35,410.9,426.27,428.85,422.01,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.97,0,147,,1,4.0,67.5,0,2025-09-18 00:23:43,0,1,0
2025-09-18 00:24:28,117,0.07,243.53,0.09,0.28,238.59,236.11,255.88,411.1,426.19,428.31,421.87,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.95,0,147,,1,3.9,67.0,0,2025-09-18 00:24:28,0,1,0
2025-09-18 00:25:13,117,0.07,243.48,0.09,0.28,237.94,235.78,256.71,410.25,426.64,428.48,421.79,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.96,0,147,,1,3.5,69.5,0,2025-09-18 00:25:13,0,1,0
2025-09-18 00:25:58,117,0.07,243.75,0.09,0.28,237.86,235.92,257.47,410.31,427.42,429.08,422.27,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,49.97,0,147,,1,3.4,72.1,0,2025-09-18 00:25:58,0,1,0
2025-09-18 00:26:43,117,0.07,243.65,0.09,0.28,238.64,236.27,256.05,411.29,426.48,428.5,422.09,0.0,0.28,0.0,,,,0.0,,,,0.07,,,,,,1.0,,50.0,0,147,,1,3.4,74.2,0,2025-09-18 00:26:43,0,1,0
