readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),Total Reactive Power (kVAR),Total Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),System Power Factor,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-23 15:33:31,,2.26,229.1,3.41,234.69,231.53,221.08,403.77,391.89,394.79,396.82,0.0,0.0,10.24,0.0,2.26,,,,1.0,50.0,-2.0,1118,1.0,-9.9,80.0,1,2025-09-23 15:33:31,0,1,1,0
2025-09-23 15:34:16,,2.23,227.12,3.39,231.85,229.82,219.68,399.82,389.31,391.08,393.4,0.0,0.0,10.18,0.0,2.24,,,,1.0,49.99,-2.0,1118,1.0,-9.3,79.1,1,2025-09-23 15:34:16,0,1,1,0
2025-09-23 15:35:01,,2.23,226.82,3.39,231.66,229.54,219.26,399.41,388.71,390.63,392.96,0.0,0.0,10.17,0.0,2.23,,,,1.0,50.0,-2.0,1118,1.0,-9.2,77.6,1,2025-09-23 15:35:01,0,1,1,0
2025-09-23 15:35:46,,2.27,228.93,3.42,234.55,231.11,221.12,403.28,391.82,394.97,396.81,0.0,0.0,10.26,0.0,2.27,,,,1.0,49.96,-2.0,1118,1.0,-9.2,76.9,1,2025-09-23 15:35:46,0,1,1,0
2025-09-23 15:36:31,807.0,2.25,228.01,3.34,235.72,231.64,216.67,404.75,388.32,391.9,394.99,0.0,0.0,10.02,0.0,2.25,,,,1.0,49.97,-2.0,1118,1.0,-9.1,76.3,1,2025-09-23 15:36:31,0,1,1,0
2025-09-23 15:37:16,807.0,2.25,228.73,3.41,234.91,230.58,220.7,403.13,390.85,394.63,396.21,0.0,0.0,10.22,0.0,2.25,,,,1.0,49.98,-2.0,1118,1.0,-8.5,76.2,1,2025-09-23 15:37:16,0,1,1,0
2025-09-23 15:38:01,,2.23,226.75,3.39,231.39,229.34,219.53,399.01,388.76,390.55,392.77,0.0,0.0,10.17,0.0,2.23,,,,1.0,49.98,-2.0,1118,1.0,-8.4,75.6,1,2025-09-23 15:38:01,0,1,1,0
2025-09-23 15:38:46,,0.0,228.22,0.0,229.8,227.76,227.09,396.26,393.91,395.68,395.28,0.0,0.0,0.0,0.0,0.0,,,,,49.97,-2.0,1118,,-8.4,75.4,1,2025-09-23 15:38:46,0,0,1,0
2025-09-23 15:39:31,,0.0,227.77,0.0,229.14,227.42,226.76,395.39,393.33,394.82,394.52,0.0,0.0,0.0,0.0,0.0,,,,,49.98,-2.0,1118,,-7.8,74.9,1,2025-09-23 15:39:31,0,0,1,0
2025-09-23 15:40:16,,3.42,225.83,6.23,226.5,226.13,224.85,391.99,390.71,390.88,391.08,6.46,5.94,6.29,2.43,4.24,0.81,0.84,0.8,0.78,49.96,-2.0,1118,0.81,-7.7,74.3,1,2025-09-23 15:40:16,1,0,1,0
2025-09-23 15:41:01,,3.25,225.71,6.01,225.94,226.04,225.16,391.43,390.75,390.66,390.95,6.24,5.93,5.73,2.41,4.08,0.79,0.82,0.78,0.78,49.99,-2.0,1118,0.8,-7.7,73.5,1,2025-09-23 15:41:01,1,0,1,0
2025-09-23 15:41:46,,3.07,226.12,5.84,226.05,226.5,225.81,391.92,391.71,391.32,391.65,6.78,5.26,5.48,2.45,3.97,0.76,0.83,0.73,0.73,49.96,-2.0,1118,0.78,-7.7,72.0,1,2025-09-23 15:41:46,1,0,1,0
2025-09-23 15:42:31,,3.21,226.21,6.05,226.15,226.63,225.71,392.24,391.74,391.44,391.81,7.69,4.86,5.6,2.46,4.1,0.78,0.84,0.75,0.75,49.98,-2.0,1118,0.79,-8.5,71.7,1,2025-09-23 15:42:31,1,0,1,0
2025-09-23 15:43:16,,3.14,225.97,5.92,225.85,226.55,225.5,391.79,391.49,390.88,391.39,7.29,5.43,5.05,2.45,4.03,0.77,0.83,0.74,0.73,49.96,-2.0,1118,0.79,-9.2,71.0,1,2025-09-23 15:43:16,1,0,1,0
2025-09-23 15:44:01,,3.04,225.94,5.79,226.02,226.25,225.55,391.58,391.39,390.79,391.25,7.07,5.37,4.93,2.43,3.93,0.76,0.83,0.73,0.73,49.95,-2.0,1118,0.78,-10.0,69.8,1,2025-09-23 15:44:01,1,0,1,0
2025-09-23 15:44:46,,3.01,228.4,5.82,229.77,228.25,227.17,396.5,394.32,395.62,395.48,7.39,4.62,5.44,2.53,3.99,0.75,0.82,0.73,0.7,49.96,-2.0,1118,0.77,-10.7,68.9,1,2025-09-23 15:44:46,1,0,1,0
2025-09-23 15:45:31,807.0,2.97,228.74,5.73,230.04,228.71,227.47,397.29,395.06,396.22,396.19,7.29,5.06,4.82,2.52,3.93,0.75,0.82,0.71,0.7,50.0,-2.0,1118,0.76,-11.5,68.5,1,2025-09-23 15:45:31,1,0,1,0
2025-09-23 15:46:16,807.0,2.98,228.51,5.76,229.54,228.58,227.41,396.74,394.9,395.77,395.69,6.93,4.84,5.52,2.52,3.95,0.74,0.82,0.72,0.68,50.02,-2.0,1118,0.76,-11.6,68.1,1,2025-09-23 15:46:16,1,0,1,0
2025-09-23 15:47:01,,2.94,228.82,5.73,230.05,228.8,227.62,397.38,395.27,396.36,396.33,7.41,4.51,5.31,2.53,3.93,0.73,0.81,0.71,0.67,50.0,-2.0,1118,0.76,-12.3,68.1,1,2025-09-23 15:47:01,1,0,1,0
2025-09-23 15:47:46,,2.91,228.5,5.7,229.6,228.36,227.53,396.61,394.81,395.89,395.77,6.91,5.2,5.06,2.53,3.91,0.74,0.81,0.72,0.69,49.99,-2.0,1118,0.75,-12.4,68.2,1,2025-09-23 15:47:46,1,0,1,0
