readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-23 00:00:13,1111480074.0,0.53,241.52,0.74,2.23,240.85,241.64,242.09,417.64,418.42,418.94,418.35,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.07,0.54,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.1,1113315082.0,1100931400.0,0,1,-17.6,66.8,0.0,2025-09-23 00:00:13,0,0,0.0,0
2025-09-23 00:00:58,1111482696.0,0.53,241.63,0.74,2.23,241.0,241.49,242.4,417.25,419.43,418.86,418.52,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.07,0.54,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.1,1113317704.0,1100931400.0,0,1,-17.6,67.2,0.0,2025-09-23 00:00:58,0,0,0.0,0
2025-09-23 00:01:43,1111482696.0,0.53,241.61,0.74,2.23,240.97,241.5,242.38,417.23,419.27,418.96,418.53,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.07,0.54,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113320325.0,1100936643.0,0,1,-17.5,67.5,0.0,2025-09-23 00:01:43,0,0,0.0,0
2025-09-23 00:02:28,1111485317.0,0.53,240.4,0.74,2.22,239.97,240.64,240.59,415.29,417.27,416.57,416.31,0.87,0.0,1.35,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.53,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113320325.0,1100936643.0,0,1,-17.5,67.9,0.0,2025-09-23 00:02:28,0,0,0.0,0
2025-09-23 00:03:13,1111487939.0,0.53,240.42,0.74,2.22,240.01,240.26,241.0,415.12,416.55,417.59,416.35,0.87,0.0,1.35,0.21,0.0,0.32,0.07,0.01,0.0,0.07,0.53,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113322947.0,1100936643.0,0,1,-17.5,67.9,0.0,2025-09-23 00:03:13,0,0,0.0,0
2025-09-23 00:03:58,1111487939.0,0.53,240.57,0.74,2.22,240.19,240.6,240.94,415.51,417.33,417.22,416.63,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.54,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113325568.0,1100936643.0,0,1,-17.5,67.0,0.0,2025-09-23 00:03:58,0,0,0.0,0
2025-09-23 00:04:43,1111490560.0,0.53,240.55,0.74,2.23,240.26,240.56,240.85,415.89,416.77,417.29,416.68,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.54,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113325568.0,1100936643.0,0,1,-17.6,65.7,0.0,2025-09-23 00:04:43,0,0,0.0,0
2025-09-23 00:05:28,1111493181.0,0.53,240.43,0.74,2.22,240.04,240.64,240.61,415.41,416.99,416.89,416.42,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.53,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113328189.0,1100936643.0,0,1,-18.2,64.3,0.0,2025-09-23 00:05:28,0,0,0.0,0
2025-09-23 00:06:13,1111493181.0,0.53,240.51,0.74,2.22,240.18,240.64,240.72,415.86,417.15,416.72,416.52,0.87,0.0,1.35,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.53,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113330811.0,1100936643.0,0,1,-18.3,63.0,0.0,2025-09-23 00:06:13,0,0,0.0,0
2025-09-23 00:06:58,1111495803.0,0.53,240.5,0.74,2.22,240.25,240.76,240.5,415.27,417.66,416.74,416.59,0.87,0.0,1.36,0.21,0.0,0.32,0.07,0.01,0.0,0.06,0.53,0.21,0.0,0.33,0.99,1.0,1.0,0.98,50.0,1113330811.0,1100936643.0,0,1,-18.3,61.9,0.0,2025-09-23 00:06:58,0,0,0.0,0
