readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-25 00:00:41,70.63,2.77,231.29,5.47,16.4,232.26,229.78,231.85,400.46,401.42,399.93,400.59,5.58,6.29,4.53,0.91,1.12,0.73,2.54,0.91,0.9,0.74,3.79,1.3,1.45,1.05,0.74,0.71,0.78,0.71,50.0,88.33,46.82,1,1,-19.4,47.7,0,2025-09-25 00:00:41,1,0,0,0
2025-09-25 00:01:26,70.66,2.76,231.01,5.46,16.39,231.91,229.53,231.6,400.14,400.84,399.35,400.05,5.51,6.33,4.55,0.9,1.14,0.73,2.54,0.9,0.9,0.75,3.78,1.28,1.45,1.05,0.74,0.71,0.79,0.7,49.9,88.38,46.85,1,1,-19.5,47.3,0,2025-09-25 00:01:26,1,0,0,0
2025-09-25 00:02:56,70.73,2.74,229.28,5.41,16.24,229.88,227.98,229.99,396.86,397.98,396.51,397.08,5.48,6.26,4.5,0.9,1.13,0.72,2.47,0.87,0.88,0.72,3.72,1.26,1.43,1.04,0.74,0.71,0.79,0.71,49.9,88.47,46.91,1,1,-20.1,46.6,1,2025-09-25 00:02:56,1,0,1,0
2025-09-25 00:03:41,70.77,2.73,229.26,5.41,16.22,230.17,228.14,229.48,397.25,397.88,396.11,397.1,5.45,6.29,4.48,0.89,1.13,0.71,2.47,0.87,0.88,0.72,3.72,1.25,1.44,1.03,0.74,0.72,0.78,0.7,49.9,88.53,46.95,1,1,-20.1,46.2,0,2025-09-25 00:03:41,1,0,0,0
2025-09-25 00:04:26,70.8,2.73,229.42,5.4,16.2,230.07,228.98,229.21,396.98,398.99,396.08,397.35,5.35,6.34,4.52,0.89,1.14,0.7,2.48,0.85,0.89,0.74,3.72,1.23,1.45,1.04,0.74,0.72,0.79,0.69,49.9,88.57,46.98,1,1,-20.1,46.1,0,2025-09-25 00:04:26,1,0,0,0
2025-09-25 00:05:11,70.83,2.74,229.89,5.41,16.24,230.67,229.36,229.65,397.68,400.01,396.81,398.1,5.38,6.36,4.5,0.9,1.14,0.7,2.5,0.86,0.9,0.73,3.73,1.24,1.46,1.03,0.74,0.72,0.79,0.69,49.9,88.61,47.0,1,1,-20.2,45.8,0,2025-09-25 00:05:11,1,0,0,0
2025-09-25 00:05:56,70.86,2.73,230.04,5.41,16.22,230.99,229.42,229.72,398.36,399.56,397.38,398.29,5.42,6.35,4.45,0.9,1.13,0.69,2.5,0.86,0.9,0.73,3.73,1.25,1.46,1.02,0.74,0.72,0.78,0.69,49.9,88.65,47.03,1,1,-20.2,45.7,0,2025-09-25 00:05:56,1,0,0,0
2025-09-25 00:06:41,70.9,2.72,229.96,5.39,16.16,230.95,228.98,229.95,397.71,399.38,397.77,398.24,5.43,6.26,4.46,0.9,1.12,0.7,2.5,0.88,0.89,0.73,3.72,1.25,1.43,1.03,0.74,0.71,0.78,0.69,49.9,88.7,47.07,1,1,-20.2,45.4,0,2025-09-25 00:06:41,1,0,0,0
2025-09-25 00:07:26,70.93,2.72,231.47,5.42,16.27,233.0,230.02,231.4,401.65,400.84,400.24,401.02,5.48,6.31,4.48,0.9,1.12,0.7,2.56,0.9,0.91,0.75,3.76,1.28,1.45,1.04,0.73,0.7,0.77,0.69,49.9,88.75,47.1,1,1,-20.2,45.3,0,2025-09-25 00:07:26,1,0,0,0
2025-09-25 00:08:11,70.97,2.71,231.23,5.41,16.22,233.82,228.45,231.44,401.09,400.25,400.12,400.44,5.49,6.2,4.54,0.88,1.1,0.73,2.55,0.92,0.89,0.74,3.75,1.28,1.42,1.05,0.73,0.69,0.78,0.7,49.9,88.8,47.13,1,1,-20.2,45.0,0,2025-09-25 00:08:11,1,0,0,0
2025-09-25 00:08:56,71.0,2.7,231.31,5.4,16.21,234.08,228.42,231.44,400.92,400.73,400.2,400.53,5.53,6.15,4.54,0.89,1.08,0.73,2.55,0.93,0.88,0.74,3.75,1.29,1.4,1.05,0.73,0.69,0.78,0.71,49.9,88.84,47.16,1,1,-20.2,45.0,0,2025-09-25 00:08:56,1,0,0,0
2025-09-25 00:09:41,71.04,2.72,232.33,5.43,16.3,236.22,229.02,231.76,403.22,401.87,402.05,402.32,5.59,6.23,4.48,0.91,1.08,0.72,2.59,0.94,0.92,0.73,3.78,1.32,1.43,1.04,0.72,0.69,0.76,0.7,49.9,88.89,47.19,1,1,-20.9,44.9,0,2025-09-25 00:09:41,1,0,0,0
2025-09-25 00:10:26,71.07,2.71,231.72,5.41,16.24,235.83,228.29,231.04,402.31,400.29,401.37,401.4,5.65,6.14,4.45,0.92,1.06,0.73,2.57,0.96,0.9,0.71,3.76,1.33,1.4,1.03,0.73,0.69,0.76,0.72,49.9,88.94,47.23,1,1,-20.9,44.5,0,2025-09-25 00:10:26,1,0,0,0
2025-09-25 00:11:11,71.1,2.71,231.52,5.41,16.23,235.93,228.2,230.43,402.31,400.58,399.98,400.87,5.64,6.21,4.38,0.93,1.07,0.71,2.56,0.94,0.92,0.7,3.76,1.33,1.42,1.01,0.73,0.7,0.76,0.71,49.9,88.99,47.26,1,1,-20.9,44.6,0,2025-09-25 00:11:11,1,0,0,0
2025-09-25 00:11:56,71.14,2.69,231.79,5.4,16.2,235.65,229.19,230.55,402.23,401.35,400.76,401.31,5.5,6.23,4.46,0.9,1.09,0.7,2.57,0.92,0.91,0.74,3.75,1.3,1.43,1.03,0.72,0.7,0.77,0.69,49.9,89.03,47.29,1,1,-20.9,44.5,0,2025-09-25 00:11:56,1,0,0,0
2025-09-25 00:12:41,71.18,2.69,231.92,5.39,16.18,235.68,229.24,230.85,402.5,401.07,401.46,401.69,5.54,6.24,4.4,0.91,1.08,0.7,2.58,0.93,0.93,0.72,3.75,1.31,1.43,1.02,0.72,0.7,0.76,0.69,49.9,89.09,47.33,1,1,-20.9,44.3,0,2025-09-25 00:12:41,1,0,0,0
