readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-18 00:01:13,,0.38,239.44,0.55,1.64,234.77,235.63,247.93,407.38,418.82,418.08,414.76,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.98,0.0,145,,1,-17.7,44.2,0,2025-09-18 00:01:13,0,0,0,1
2025-09-18 00:01:58,,0.38,241.79,0.55,1.65,236.71,237.23,251.42,410.44,423.24,422.8,418.83,1.65,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.99,0.0,145,,1,-17.7,44.2,0,2025-09-18 00:01:58,0,0,0,1
2025-09-18 00:02:43,,0.38,241.79,0.55,1.64,236.76,236.9,251.72,410.2,423.22,423.1,418.84,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.98,0.0,145,,1,-17.7,44.1,0,2025-09-18 00:02:43,0,0,0,1
2025-09-18 00:03:28,,0.38,241.64,0.55,1.64,236.54,236.72,251.67,409.86,423.02,422.87,418.58,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.94,0.0,145,,1,-17.7,44.1,0,2025-09-18 00:03:28,0,0,0,1
2025-09-18 00:04:13,,0.38,242.22,0.55,1.64,236.14,235.93,254.6,408.82,424.91,425.09,419.61,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.94,0.0,145,,1,-17.7,43.9,0,2025-09-18 00:04:13,0,0,0,1
2025-09-18 00:04:58,,0.38,242.46,0.55,1.64,235.99,236.81,254.59,409.46,425.66,424.96,420.02,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.93,0.0,145,,1,-17.7,43.9,0,2025-09-18 00:04:58,0,0,0,1
2025-09-18 00:05:43,,0.38,242.38,0.55,1.64,235.98,236.55,254.62,409.2,425.5,424.95,419.88,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.94,0.0,145,,1,-17.8,43.9,0,2025-09-18 00:05:43,0,0,0,1
2025-09-18 00:06:28,,0.38,242.42,0.55,1.64,236.2,236.64,254.42,409.49,425.36,424.99,419.97,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.95,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:06:28,0,0,0,1
2025-09-18 00:07:13,120.0,0.38,242.34,0.55,1.64,236.19,236.47,254.37,409.34,425.17,424.93,419.81,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.93,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:07:13,0,0,0,1
2025-09-18 00:07:58,120.0,0.38,242.36,0.55,1.64,235.75,236.32,255.0,408.82,425.6,425.11,419.84,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.92,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:07:58,0,0,0,1
2025-09-18 00:08:43,120.0,0.38,242.16,0.55,1.64,236.29,236.46,253.72,409.41,424.6,424.45,419.49,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.93,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:08:43,0,0,0,1
2025-09-18 00:09:28,120.0,0.38,242.22,0.55,1.64,236.14,236.59,253.94,409.4,424.9,424.52,419.6,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.94,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:09:28,0,0,0,1
2025-09-18 00:10:13,,0.38,242.32,0.55,1.64,236.51,236.64,253.81,409.76,424.83,424.72,419.76,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.94,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:10:13,0,0,0,1
2025-09-18 00:10:58,,0.38,242.48,0.55,1.64,236.75,236.86,253.84,410.16,425.04,424.95,420.05,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.96,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:10:58,0,0,0,1
2025-09-18 00:11:43,,0.38,242.65,0.55,1.64,236.09,236.45,255.41,409.23,426.07,425.76,420.35,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.97,0.0,145,,1,-17.8,43.8,0,2025-09-18 00:11:43,0,0,0,1
2025-09-18 00:12:28,,0.38,242.19,0.55,1.64,236.44,237.56,252.57,410.5,424.53,423.57,419.53,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.96,0.0,145,,1,-17.8,43.7,0,2025-09-18 00:12:28,0,0,0,1
2025-09-18 00:13:13,,0.38,242.1,0.55,1.65,236.42,237.66,252.42,410.52,424.47,423.11,419.37,1.65,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.98,0.0,145,,1,-17.8,43.7,0,2025-09-18 00:13:13,0,0,0,1
2025-09-18 00:13:58,,0.38,242.22,0.55,1.64,236.69,237.59,252.39,410.74,424.4,423.9,419.72,1.64,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,49.97,0.0,145,,1,-17.8,43.7,0,2025-09-18 00:13:58,0,0,0,1
2025-09-18 00:14:43,,0.38,242.45,0.55,1.65,236.9,237.91,252.55,411.2,424.81,423.95,419.99,1.65,0.0,0.0,,,,0.07,,,,0.39,,,,,0.98,,,50.0,0.0,145,,1,-17.8,43.7,0,2025-09-18 00:14:43,0,0,0,1
