readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,df2_time,Temperature (°C),Humidity (%),Door Status,compressor_on,heater_on
2025-09-18 00:00:28,312.0,2.57,239.35,5.47,16.41,234.95,235.39,247.7,407.33,418.41,418.06,414.66,6.79,3.99,5.63,,,,2.96,,,,3.93,,,,0.65,0.65,0.66,0.65,49.97,0,446,,1,2025-09-18 00:00:28,-17.7,44.2,0,1,0
2025-09-18 00:01:13,312.0,2.59,239.51,5.49,16.47,234.77,235.71,247.99,407.52,418.86,418.26,414.88,6.88,3.96,5.64,,,,2.96,,,,3.95,,,,0.65,0.65,0.66,0.65,49.98,0,446,,1,2025-09-18 00:01:13,-17.7,44.2,0,1,0
2025-09-18 00:01:58,313.0,2.6,241.84,5.58,16.74,236.71,237.17,251.51,410.39,423.31,423.05,418.92,7.04,3.85,5.85,,,,3.08,,,,4.05,,,,0.64,0.62,0.65,0.65,49.99,0,446,,1,2025-09-18 00:01:58,-17.7,44.2,0,1,0
2025-09-18 00:02:43,313.0,2.61,241.86,5.64,17.11,236.87,236.96,251.75,410.35,423.3,423.22,418.96,6.88,3.91,6.32,,,,3.09,,,,4.08,,,,0.64,0.59,0.64,0.69,49.97,0,446,,1,2025-09-18 00:02:43,-17.7,44.1,0,1,0
2025-09-18 00:03:28,313.0,2.61,241.71,5.57,16.7,236.64,236.95,251.53,410.14,423.1,422.83,418.69,6.74,3.9,6.06,,,,3.09,,,,4.06,,,,0.64,0.6,0.62,0.68,49.95,0,446,,1,2025-09-18 00:03:28,-17.7,44.1,0,1,0
2025-09-18 00:04:13,313.0,2.59,242.31,5.61,17.5,236.34,235.91,254.67,408.98,424.96,425.33,419.75,7.38,3.66,6.45,,,,3.12,,,,4.14,,,,0.64,0.6,0.65,0.66,49.94,0,446,,1,2025-09-18 00:04:13,-17.7,43.9,0,1,0
2025-09-18 00:04:58,313.0,2.59,242.5,5.63,16.96,236.09,236.79,254.63,409.53,425.68,425.08,420.09,6.69,3.72,6.54,,,,3.14,,,,4.14,,,,0.64,0.57,0.69,0.67,49.94,0,446,,1,2025-09-18 00:04:58,-17.7,43.9,0,1,0
2025-09-18 00:05:43,313.0,2.58,242.37,5.6,16.79,236.1,236.42,254.6,409.21,425.33,425.06,419.87,6.68,3.85,6.26,,,,3.14,,,,4.13,,,,0.64,0.58,0.7,0.65,49.94,0,446,,1,2025-09-18 00:05:43,-17.8,43.9,0,1,0
2025-09-18 00:06:28,313.0,2.59,242.41,5.59,16.78,236.29,236.47,254.47,409.42,425.26,425.11,419.93,6.73,3.88,6.17,,,,3.13,,,,4.13,,,,0.64,0.59,0.7,0.65,49.94,0,447,,1,2025-09-18 00:06:28,-17.8,43.8,0,1,0
2025-09-18 00:07:13,313.0,2.6,242.41,5.64,16.92,236.3,236.29,254.63,409.33,425.24,424.97,419.84,6.88,3.5,6.55,,,,3.13,,,,4.14,,,,0.65,0.57,0.69,0.68,49.93,0,447,,1,2025-09-18 00:07:13,-17.8,43.8,0,1,0
2025-09-18 00:07:58,313.0,2.62,242.4,5.65,16.95,235.88,236.39,254.92,409.0,425.59,425.41,419.98,7.27,3.65,6.02,,,,3.13,,,,4.08,,,,0.64,0.56,0.69,0.68,49.92,0,447,,1,2025-09-18 00:07:58,-17.8,43.8,0,1,0
2025-09-18 00:08:43,313.0,2.62,242.22,5.63,16.9,236.34,236.29,254.03,409.31,424.72,424.76,419.6,7.26,3.68,5.96,,,,3.11,,,,4.07,,,,0.63,0.6,0.64,0.66,49.93,0,447,,1,2025-09-18 00:08:43,-17.8,43.8,0,1,0
2025-09-18 00:09:28,313.0,2.6,242.29,5.59,16.89,236.53,236.46,253.89,409.62,424.75,424.8,419.72,6.88,3.94,6.07,,,,3.12,,,,4.1,,,,0.64,0.6,0.69,0.64,49.93,0,447,,1,2025-09-18 00:09:28,-17.8,43.8,0,1,0
2025-09-18 00:10:13,313.0,2.62,242.35,5.64,16.92,236.43,236.82,253.8,409.65,425.05,424.79,419.83,7.25,3.7,5.98,,,,3.12,,,,4.08,,,,0.65,0.57,0.69,0.67,49.95,0,447,,1,2025-09-18 00:10:13,-17.8,43.8,0,1,0
2025-09-18 00:10:58,313.0,2.62,242.51,5.64,16.92,236.59,236.72,254.26,409.86,425.17,425.29,420.11,7.29,3.62,6.01,,,,3.13,,,,4.08,,,,0.63,0.6,0.64,0.66,49.96,0,447,,1,2025-09-18 00:10:58,-17.8,43.8,0,1,0
2025-09-18 00:11:43,313.0,2.59,242.67,5.63,16.88,236.11,236.62,255.28,409.4,426.17,425.7,420.42,6.79,3.55,6.54,,,,3.14,,,,4.15,,,,0.64,0.56,0.7,0.67,49.97,0,447,,1,2025-09-18 00:11:43,-17.8,43.8,0,1,0
2025-09-18 00:12:28,313.0,2.62,242.26,5.61,16.82,236.61,237.52,252.64,410.61,424.59,423.63,419.59,7.08,3.88,5.87,,,,3.1,,,,4.07,,,,0.64,0.62,0.65,0.65,49.97,0,447,,1,2025-09-18 00:12:28,-17.8,43.7,0,1,0
2025-09-18 00:13:13,313.0,2.6,242.24,5.6,16.79,236.43,237.79,252.5,410.69,424.67,423.67,419.62,7.11,3.84,5.83,,,,3.1,,,,4.06,,,,0.64,0.62,0.64,0.65,49.98,0,447,,1,2025-09-18 00:13:13,-17.8,43.7,0,1,0
2025-09-18 00:13:58,313.0,2.61,242.34,5.59,16.76,236.62,237.71,252.68,410.78,424.76,424.03,419.87,6.84,3.94,5.98,,,,3.11,,,,4.09,,,,0.64,0.61,0.67,0.65,49.98,0,447,,1,2025-09-18 00:13:58,-17.8,43.7,0,1,0
2025-09-18 00:14:43,313.0,2.59,242.47,5.59,16.77,236.98,237.66,252.77,411.05,424.79,424.21,419.97,6.76,3.7,6.32,,,,3.12,,,,4.12,,,,0.63,0.61,0.62,0.66,49.99,0,447,,1,2025-09-18 00:14:43,-17.8,43.7,0,1,0
2025-09-18 00:15:28,313.0,2.6,242.44,5.65,16.94,236.82,237.94,252.57,411.15,424.86,423.9,419.91,7.31,3.31,6.31,,,,3.11,,,,4.1,,,,0.63,0.59,0.63,0.68,49.99,0,447,,1,2025-09-18 00:15:28,-17.8,43.7,0,1,0
