start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 06:25:14,2025-09-30 06:34:06,0 days 00:08:52,20.6,17.5,19.564,0.52,3.519,19.345,5.498,4.891
2025-09-30 07:32:24,2025-09-30 07:41:15,0 days 00:08:51,21.1,17.9,19.545,0.53,3.593,19.335,5.381,4.889
2025-09-30 08:40:12,2025-09-30 08:45:27,0 days 00:05:15,21.1,19.5,20.314,0.3,3.429,19.747,5.76,4.986
2025-09-30 09:35:31,2025-09-30 09:43:38,0 days 00:08:07,21.1,18.0,19.79,0.54,3.992,19.465,4.876,4.92
2025-09-30 10:43:29,2025-09-30 10:52:21,0 days 00:08:52,21.1,18.0,19.7,0.55,3.722,19.417,5.217,4.908
2025-09-30 11:44:40,2025-09-30 11:53:32,0 days 00:08:52,21.0,17.9,19.69,0.58,3.925,19.412,4.946,4.907
2025-09-30 12:57:44,2025-09-30 13:08:59,0 days 00:11:15,21.1,17.4,19.443,0.7,3.733,19.28,5.164,4.876
2025-09-30 14:14:32,2025-09-30 14:24:17,0 days 00:09:45,21.1,17.5,19.446,0.6,3.692,19.282,5.222,4.876
2025-09-30 15:42:05,2025-09-30 15:50:57,0 days 00:08:52,20.6,17.5,19.25,0.61,4.128,19.178,4.646,4.852
2025-09-30 16:51:25,2025-09-30 17:00:25,0 days 00:09:00,21.1,17.9,19.682,0.55,3.667,19.408,5.293,4.906
2025-09-30 17:48:15,2025-09-30 17:57:07,0 days 00:08:52,20.6,17.5,19.411,0.54,3.654,19.263,5.272,4.872
2025-09-30 18:59:03,2025-09-30 19:08:03,0 days 00:09:00,21.1,18.1,19.809,0.56,3.733,19.476,5.217,4.922
2025-09-30 20:11:30,2025-09-30 20:19:37,0 days 00:08:07,21.1,18.0,19.725,0.52,3.844,19.431,5.055,4.912
2025-09-30 21:22:20,2025-09-30 21:31:20,0 days 00:09:00,21.1,18.0,19.8,0.53,3.533,19.471,5.511,4.921
2025-09-30 22:35:32,2025-09-30 22:44:24,0 days 00:08:52,21.1,18.0,19.709,0.53,3.586,19.422,5.415,4.91
2025-09-30 23:33:00,2025-09-30 23:40:29,0 days 00:07:29,20.6,18.1,19.7,0.45,3.608,19.417,5.382,4.908
2025-10-01 00:46:11,2025-10-01 00:54:17,0 days 00:08:06,21.1,18.0,19.678,0.48,3.556,19.405,5.458,4.906
2025-10-01 01:58:29,2025-10-01 02:05:20,0 days 00:06:51,20.6,18.1,19.662,0.42,3.679,19.397,5.273,4.904
2025-10-01 03:08:46,2025-10-01 03:16:16,0 days 00:07:30,20.5,18.0,19.43,0.43,3.44,19.273,5.603,4.874
2025-10-01 03:46:44,2025-10-01 03:54:59,0 days 00:08:15,20.6,17.9,19.611,0.47,3.418,19.37,5.667,4.897
2025-10-01 04:42:04,2025-10-01 04:50:56,0 days 00:08:52,21.1,17.5,19.473,0.5,3.383,19.296,5.703,4.88
2025-10-01 05:43:16,2025-10-01 05:51:22,0 days 00:08:06,21.0,18.0,19.74,0.47,3.481,19.439,5.583,4.913
2025-10-01 06:44:26,2025-10-01 06:53:18,0 days 00:08:52,21.1,18.0,19.96,0.53,3.586,19.557,5.453,4.941
2025-10-01 07:45:39,2025-10-01 07:53:54,0 days 00:08:15,20.6,18.0,19.591,0.49,3.564,19.359,5.432,4.895
2025-10-01 08:55:06,2025-10-01 10:29:46,0 days 01:34:40,21.1,18.3,20.467,5.51,3.492,19.829,5.678,5.006
2025-10-01 10:30:01,2025-10-01 10:34:31,0 days 00:04:30,19.5,17.5,18.717,0.25,3.333,18.896,5.669,4.785
2025-10-01 11:28:31,2025-10-01 11:38:16,0 days 00:09:45,21.1,17.5,19.573,0.6,3.692,19.349,5.24,4.892
2025-10-01 12:33:01,2025-10-01 12:42:46,0 days 00:09:45,21.1,17.4,19.425,0.59,3.631,19.271,5.308,4.874
2025-10-01 13:45:46,2025-10-01 13:55:31,0 days 00:09:45,21.1,17.5,19.375,0.61,3.754,19.244,5.127,4.867
2025-10-01 15:00:01,2025-10-01 15:09:46,0 days 00:09:45,21.1,17.5,19.492,0.59,3.631,19.307,5.317,4.882
2025-10-01 16:15:46,2025-10-01 16:24:46,0 days 00:09:00,21.1,18.0,19.625,0.6,4.0,19.377,4.844,4.899
2025-10-01 17:40:19,2025-10-01 17:50:04,0 days 00:09:45,21.2,17.5,19.609,0.61,3.754,19.369,5.16,4.897
2025-10-01 18:49:19,2025-10-01 18:59:04,0 days 00:09:45,21.1,17.9,19.585,0.59,3.631,19.356,5.331,4.894
2025-10-01 20:03:34,2025-10-01 20:13:19,0 days 00:09:45,21.1,17.9,19.638,0.58,3.569,19.385,5.431,4.901
2025-10-01 21:10:19,2025-10-01 21:19:19,0 days 00:09:00,21.1,17.5,19.525,0.51,3.4,19.324,5.684,4.886
2025-10-01 22:22:19,2025-10-01 22:31:19,0 days 00:09:00,21.1,18.1,19.708,0.52,3.467,19.422,5.602,4.909
