readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),df2_time,compressor_on,heater_on,fan_status
2025-09-22 00:00:13,1092668621.0,0.31,241.74,0.44,1.32,241.44,242.12,241.68,417.44,419.47,419.21,418.71,0.0,1.32,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.1,1095090831.0,1087289426.0,,1,19.8,95.9,2025-09-22 00:00:13,0,0,1
2025-09-22 00:00:58,1092668621.0,0.31,241.62,0.44,1.32,240.56,242.29,242.02,416.98,420.66,417.84,418.5,0.0,1.32,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.1,1095101317.0,1087289426.0,,1,19.8,95.9,2025-09-22 00:00:58,0,0,1
2025-09-22 00:01:43,1092679107.0,0.31,241.25,0.44,1.32,240.18,242.04,241.54,416.62,418.92,418.03,417.85,0.0,1.32,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095101317.0,1087289426.0,,1,19.8,95.9,2025-09-22 00:01:43,0,0,1
2025-09-22 00:02:28,1092679107.0,0.31,241.0,0.44,1.32,239.46,241.92,241.63,415.9,419.04,417.33,417.47,0.0,1.32,0.0,0.0,0.31,0.0,0.07,0.0,0.07,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095111803.0,1087289426.0,,1,19.8,96.0,2025-09-22 00:02:28,0,0,1
2025-09-22 00:03:13,1092679107.0,0.31,241.19,0.44,1.31,240.49,241.43,241.67,416.42,419.04,417.81,417.82,0.0,1.31,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095111803.0,1087310397.0,,1,19.8,96.0,2025-09-22 00:03:13,0,0,1
2025-09-22 00:03:58,1092689592.0,0.31,241.34,0.44,1.31,240.92,241.64,241.46,416.64,419.64,417.73,418.03,0.0,1.31,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095111803.0,1087310397.0,,1,19.8,96.0,2025-09-22 00:03:58,0,0,1
2025-09-22 00:04:43,1092689592.0,0.31,241.5,0.44,1.32,241.04,241.82,241.65,417.17,419.49,418.21,418.27,0.0,1.32,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095122289.0,1087310397.0,,1,19.8,96.0,2025-09-22 00:04:43,0,0,1
2025-09-22 00:05:28,1092700078.0,0.31,241.44,0.44,1.31,241.0,241.72,241.61,416.6,419.78,418.17,418.16,0.0,1.31,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095122289.0,1087310397.0,,1,19.9,96.0,2025-09-22 00:05:28,0,0,1
2025-09-22 00:06:13,1092700078.0,0.31,240.81,0.44,1.31,239.64,241.41,241.39,415.34,418.75,417.19,418.11,0.0,1.31,0.0,0.0,0.31,0.0,0.06,0.0,0.06,0.0,0.32,0.0,0.32,0.0,0.98,1.0,0.98,1.0,50.0,1095132774.0,1087310397.0,,1,19.8,96.1,2025-09-22 00:06:13,0,0,1
2025-09-22 00:06:58,1092742021.0,3.75,239.65,7.42,22.28,238.11,240.52,240.34,413.28,417.1,414.89,415.18,7.63,7.98,6.67,1.31,1.39,1.05,3.78,1.25,1.32,1.21,5.34,1.82,1.92,1.6,0.7,0.72,0.73,0.65,50.0,1095195689.0,1087394284.0,,1,19.8,96.0,2025-09-22 00:06:58,1,0,0
