readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),df2_time,compressor_on,heater_on,fan_status
2025-09-25 00:00:42,22.84,0.3,231.56,0.44,1.32,232.59,230.06,232.04,401.56,401.06,400.58,401.07,0.0,1.32,0.0,0.0,0.29,0.0,0.07,0.0,0.07,0.0,0.3,0.0,0.3,0.0,0.97,1.0,0.97,1.0,50.0,27.73,14.29,0,1,19.7,94.8,2025-09-25 00:00:42,0,0,1
2025-09-25 00:01:27,22.84,0.3,231.26,0.44,1.32,232.18,229.8,231.8,400.52,401.34,399.76,400.52,0.0,1.32,0.0,0.0,0.29,0.0,0.07,0.0,0.07,0.0,0.3,0.0,0.3,0.0,0.97,1.0,0.97,1.0,49.9,27.74,14.3,0,1,19.7,94.8,2025-09-25 00:01:27,0,0,1
2025-09-25 00:02:12,22.85,3.34,229.79,6.87,20.62,230.04,228.9,230.45,397.03,400.23,396.75,398.48,7.83,7.17,5.62,1.33,1.16,0.86,3.35,1.21,1.16,0.97,4.74,1.8,1.64,1.29,0.71,0.74,0.7,0.66,49.9,27.74,14.3,1,1,19.7,94.8,2025-09-25 00:02:12,1,0,0
2025-09-25 00:02:57,22.89,3.55,229.44,6.95,20.86,230.04,228.2,230.09,397.31,398.01,396.88,397.41,7.41,7.5,5.95,1.3,1.26,0.99,3.2,1.1,1.15,0.95,4.78,1.7,1.71,1.37,0.74,0.76,0.74,0.72,49.9,27.8,14.34,1,1,19.7,93.8,2025-09-25 00:02:57,1,0,0
2025-09-25 00:03:42,22.94,3.49,229.45,6.89,20.67,230.41,228.34,229.6,397.63,398.15,396.42,397.42,7.31,7.48,5.87,1.28,1.25,0.96,3.2,1.09,1.16,0.95,4.74,1.68,1.71,1.35,0.74,0.76,0.73,0.71,49.9,27.87,14.38,1,1,19.6,86.4,2025-09-25 00:03:42,1,0,0
2025-09-25 00:04:27,22.99,3.49,229.6,6.88,20.65,230.27,229.2,229.34,397.46,399.18,396.37,397.55,7.22,7.51,5.92,1.27,1.27,0.95,3.2,1.07,1.16,0.97,4.74,1.66,1.72,1.36,0.74,0.76,0.74,0.7,49.9,27.93,14.42,1,1,19.0,81.0,2025-09-25 00:04:27,1,0,0
2025-09-25 00:05:12,23.03,3.48,230.06,6.89,20.68,231.01,229.5,229.69,398.24,399.33,397.86,398.46,7.26,7.52,5.89,1.28,1.26,0.94,3.23,1.09,1.18,0.97,4.76,1.68,1.73,1.35,0.73,0.76,0.73,0.7,49.9,27.99,14.47,1,1,18.9,77.4,2025-09-25 00:05:12,1,0,0
2025-09-25 00:05:57,23.08,3.45,230.32,6.86,20.58,231.36,229.64,229.96,398.61,400.16,397.96,398.91,7.24,7.49,5.86,1.27,1.25,0.94,3.24,1.09,1.18,0.97,4.74,1.67,1.72,1.35,0.73,0.76,0.73,0.7,49.9,28.05,14.51,1,1,18.7,74.0,2025-09-25 00:05:57,1,0,0
2025-09-25 00:06:42,23.11,3.42,230.13,6.82,20.47,231.51,229.01,229.87,398.28,399.31,398.16,398.61,7.27,7.43,5.77,1.27,1.22,0.93,3.23,1.1,1.18,0.95,4.71,1.68,1.7,1.33,0.73,0.75,0.72,0.7,49.9,28.1,14.54,1,1,18.2,71.3,2025-09-25 00:06:42,1,0,0
2025-09-25 00:07:27,23.12,0.3,231.73,0.44,1.33,233.36,230.24,231.61,402.47,401.13,400.49,401.26,0.0,1.33,0.0,0.0,0.3,0.0,0.07,0.0,0.07,0.0,0.31,0.0,0.31,0.0,0.97,1.0,0.97,1.0,49.9,28.11,14.54,0,1,18.1,73.1,2025-09-25 00:07:27,0,0,1
