readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),Total Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),Total Reactive Power (kVAR),L1 Reactive Power (kVAR),L2 Reactive Power (kVAR),L3 Reactive Power (kVAR),Total Apparent Power (kVA),L1 Apparent Power (kVA),L2 Apparent Power (kVA),L3 Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),Condensing Unit Status,Machine Status,Temperature (°C),Humidity (%),df2_time,compressor_on,heater_on
2025-09-18 00:00:28,90.0,3.68,239.21,7.32,21.95,234.65,235.34,247.71,406.96,418.25,417.86,414.36,7.72,5.99,8.25,,,,3.68,,,,5.23,,,,0.7,0.62,0.77,0.72,49.96,0.0,123.0,,1.0,21.2,92.2,2025-09-18 00:00:28,1,0
2025-09-18 00:01:13,90.0,3.66,239.49,7.29,21.86,234.87,235.74,247.87,407.56,419.01,418.33,414.93,7.69,5.97,8.2,,,,3.71,,,,5.23,,,,0.7,0.62,0.77,0.72,49.98,0.0,123.0,,1.0,21.2,90.9,2025-09-18 00:01:13,1,0
2025-09-18 00:01:58,90.0,0.0,241.71,0.0,0.0,237.26,237.24,250.63,410.93,422.56,422.58,418.6,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,50.0,0.0,123.0,,0.0,21.1,87.4,2025-09-18 00:01:58,0,0
2025-09-18 00:02:43,90.0,0.0,241.83,0.0,0.0,236.85,236.76,251.88,410.16,423.24,423.32,418.91,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.96,0.0,123.0,,0.0,21.1,85.2,2025-09-18 00:02:43,0,0
2025-09-18 00:03:28,90.0,0.0,241.73,0.0,0.0,236.56,236.73,251.9,409.88,423.23,423.09,418.73,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.95,0.0,123.0,,0.0,20.6,86.0,2025-09-18 00:03:28,0,0
2025-09-18 00:04:13,90.0,0.0,242.23,0.0,0.0,236.12,235.9,254.53,408.9,424.83,425.13,419.62,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.93,0.0,123.0,,0.0,20.6,87.0,2025-09-18 00:04:13,0,0
2025-09-18 00:04:58,90.0,0.0,242.4,0.0,0.0,235.69,236.63,254.44,409.21,425.72,424.81,419.92,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.94,0.0,123.0,,0.0,20.6,87.9,2025-09-18 00:04:58,0,0
2025-09-18 00:05:43,90.0,0.0,242.36,0.0,0.0,235.97,236.5,254.62,409.17,425.42,425.07,419.83,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.93,0.0,123.0,,0.0,21.0,88.8,2025-09-18 00:05:43,0,0
2025-09-18 00:06:28,90.0,0.0,242.4,0.0,0.0,236.26,236.43,254.51,409.36,425.26,425.12,419.91,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.95,0.0,123.0,,0.0,21.1,89.5,2025-09-18 00:06:28,0,0
2025-09-18 00:07:13,90.0,0.0,242.38,0.0,0.0,236.36,236.35,254.43,409.38,425.12,425.13,419.88,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,49.93,0.0,123.0,,0.0,21.1,90.0,2025-09-18 00:07:13,0,0
