readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),mpow_r,mpow_y,mpow_b,mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 09:46:21,128.12,3.5877,224.11,6.88,20.6402,221.47,223.14,227.72,383.01,390.83,390.67,387.99,6.7794,7.1842,6.6766,1.1246,1.337,1.1261,2.892,0.9923,0.8797,1.02,4.6249,1.5014,1.6031,1.5204,0.7785,0.7498,0.8353,0.7411,50.2,155.64,79.85,1,1,2025-10-01 09:46:21,18.7,75.5,,1,0,,0
2025-10-01 09:47:06,128.15,0.2918,224.47,0.4468,1.3404,222.62,221.45,229.35,382.68,390.51,393.23,388.96,0.0,1.3404,0.0,0,0.2903,0,0.0604,0,0.0604,0,0.2968,0,0.2968,0,0.9792,1,0.979,1,50.2,155.68,79.88,0,1,2025-10-01 09:47:06,18.2,72.9,,0,0,,1
2025-10-01 09:47:51,128.15,0.2922,225.12,0.4452,1.3356,222.98,222.83,229.57,383.87,391.98,393.95,389.76,0.0,1.3356,0.0,0,0.2907,0,0.062,0,0.062,0,0.2976,0,0.2976,0,0.9782,1,0.978,1,50.2,155.68,79.88,0,1,2025-10-01 09:47:51,18.1,75.2,,0,0,,1
2025-10-01 09:48:36,128.16,0.2879,223.69,0.4436,1.331,222.44,220.02,228.63,381.94,388.6,391.86,387.62,0.0,1.331,0.0,0,0.2864,0,0.0597,0,0.0597,0,0.2928,0,0.2928,0,0.9791,1,0.9789,1,50.2,155.69,79.88,0,1,2025-10-01 09:48:36,18.0,78.5,,0,0,,1
2025-10-01 09:49:21,128.16,0.2885,224.15,0.4429,1.3287,222.36,220.94,229.16,381.85,391.28,391.64,388.12,0.0,1.3287,0.0,0,0.2868,0,0.0609,0,0.0609,0,0.2936,0,0.2936,0,0.9784,1,0.9782,1,50.2,155.69,79.88,0,1,2025-10-01 09:49:21,18.0,80.9,,0,0,,1
2025-10-01 09:50:06,128.16,0.2868,224.12,0.4422,1.3268,222.2,219.86,230.31,382.01,390.26,392.36,388.05,0.0,1.3268,0.0,0,0.2851,0,0.0601,0,0.0601,0,0.2917,0,0.2917,0,0.9787,1,0.9785,1,50.2,155.69,79.88,0,1,2025-10-01 09:50:06,18.0,82.9,,0,0,,1
2025-10-01 09:50:51,128.17,0.2855,224.29,0.4414,1.3244,224.07,219.33,229.48,383.81,388.83,392.86,388.72,0.0,1.3244,0.0,0,0.2839,0,0.0598,0,0.0598,0,0.2905,0,0.2905,0,0.9787,1,0.9785,1,50.1,155.7,79.88,0,1,2025-10-01 09:50:51,18.1,84.1,,0,0,,1
2025-10-01 09:51:36,128.17,0.2883,225.61,0.443,1.329,225.36,221.07,230.41,386.85,391.11,394.38,390.77,0.0,1.329,0.0,0,0.2871,0,0.0612,0,0.0612,0,0.2938,0,0.2938,0,0.9782,1,0.978,1,50.2,155.7,79.88,0,1,2025-10-01 09:51:36,18.1,85.3,,0,0,,1
2025-10-01 09:52:21,128.18,0.2862,225.94,0.4414,1.3243,226.37,219.68,231.78,387.08,391.37,395.61,391.42,0.0,1.3243,0.0,0,0.2845,0,0.0597,0,0.0597,0,0.2909,0,0.2909,0,0.9789,1,0.9786,1,50.2,155.71,79.88,0,1,2025-10-01 09:52:21,18.1,86.5,,0,0,,1
2025-10-01 09:53:06,128.18,0.285,225.65,0.4412,1.3238,226.33,218.86,231.76,386.56,390.56,395.41,391.1,0.0,1.3238,0.0,0,0.2834,0,0.0589,0,0.0589,0,0.2897,0,0.2897,0,0.9793,1,0.9791,1,50.2,155.71,79.88,0,1,2025-10-01 09:53:06,18.2,87.2,,0,0,,1
2025-10-01 09:53:51,128.18,0.2857,225.31,0.4411,1.3235,224.7,219.59,231.66,384.69,390.31,395.84,390.69,0.0,1.3235,0.0,0,0.2841,0,0.0598,0,0.0598,0,0.2906,0,0.2906,0,0.9788,1,0.9785,1,50.2,155.71,79.88,0,1,2025-10-01 09:53:51,18.2,88,,0,0,,1
2025-10-01 09:54:36,128.19,0.2871,225.2,0.4418,1.3255,224.49,220.47,230.65,384.38,390.52,395.34,389.95,0.0,1.3255,0.0,0,0.2855,0,0.0607,0,0.0607,0,0.2922,0,0.2922,0,0.9783,1,0.9781,1,50.2,155.72,79.88,0,1,2025-10-01 09:54:36,18.3,88.8,,0,0,,1
2025-10-01 09:55:21,128.19,0.2867,225.15,0.4414,1.3243,224.78,220.19,230.48,383.94,391.06,394.96,389.91,0.0,1.3243,0.0,0,0.285,0,0.0603,0,0.0603,0,0.2916,0,0.2916,0,0.9785,1,0.9783,1,50.3,155.72,79.89,0,1,2025-10-01 09:55:21,18.3,89.2,,0,0,,1
2025-10-01 09:56:06,128.19,0.2911,225.27,0.4428,1.3284,222.61,223.38,229.83,383.8,392.06,394.69,389.8,0.0,1.3284,0.0,0,0.2895,0,0.0637,0,0.0637,0,0.2967,0,0.2967,0,0.9768,1,0.9766,1,50.2,155.72,79.89,0,1,2025-10-01 09:56:06,18.7,89.7,,0,0,,1
2025-10-01 09:56:51,128.2,0.2909,224.99,0.4423,1.3271,222.21,223.38,229.4,383.48,392.14,393.5,389.59,0.0,1.3271,0.0,0,0.2892,0,0.0635,0,0.0635,0,0.2964,0,0.2964,0,0.9769,1,0.9767,1,50.2,155.73,79.89,0,1,2025-10-01 09:56:51,18.7,90.2,,0,0,,1
2025-10-01 09:57:36,128.2,0.2868,222.97,0.4414,1.3243,221.28,219.78,227.85,380.34,387.82,390.45,386.23,0.0,1.3243,0.0,0,0.2846,0,0.0599,0,0.0599,0,0.2911,0,0.2911,0,0.9789,1,0.9785,1,50.2,155.73,79.89,0,1,2025-10-01 09:57:36,18.8,90.6,,0,0,,1
2025-10-01 09:58:21,128.2,0.2889,224.08,0.4419,1.3259,222.83,221.28,228.13,382.97,389.89,391.51,388.32,0.0,1.3259,0.0,0,0.2866,0,0.0613,0,0.0613,0,0.2934,0,0.2934,0,0.9782,1,0.9779,1,50.3,155.73,79.89,0,1,2025-10-01 09:58:21,18.8,90.9,,0,0,,1
2025-10-01 09:59:06,128.21,0.2889,224.29,0.4412,1.3237,222.06,221.89,228.92,382.3,390.63,392.53,388.51,0.0,1.3237,0.0,0,0.2868,0,0.062,0,0.062,0,0.2937,0,0.2937,0,0.9777,1,0.9773,1,50.2,155.74,79.89,0,1,2025-10-01 09:59:06,18.8,91.2,,0,0,,1
