readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 06:30:20,585.61,3.0729,233.44,6.5572,19.6718,233.92,233.13,233.28,403.67,403.03,406.29,404.34,7.7736,6.5297,5.3685,1.2893,1.0628,0.7207,3.39,1.2787,1.0877,1.0237,4.593,1.8184,1.5223,1.2524,0.6716,0.71,0.6988,0.5757,50,875.59,634.12,1,1,2025-10-01 06:30:50,17.400000000000002,76.9,,1,0,,0
2025-10-01 06:31:05,585.64,3.1084,237.78,6.7392,20.2178,236.51,238.29,238.54,410.34,412.15,413.03,411.81,7.7608,6.8146,5.6424,1.2645,1.0669,0.7771,3.6484,1.3272,1.2222,1.099,4.8053,1.8355,1.6239,1.3459,0.6485,0.6897,0.6576,0.5773,50,875.66,634.16,1,1,2025-10-01 06:31:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:31:50,585.68,3.1213,239.27,6.8202,20.4606,239.45,238.99,239.38,413.66,413.42,416.19,414.47,8.014,6.7837,5.6629,1.3076,1.0768,0.7369,3.7471,1.4003,1.2094,1.1373,4.8958,1.919,1.6212,1.3556,0.64,0.6824,0.6649,0.5437,50,875.72,634.21,1,1,2025-10-01 06:31:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:32:35,585.72,3.094,236.4,6.6675,20.0027,236.83,236.08,236.31,409.56,407.93,410.9,409.5,7.8977,6.6126,5.4924,1.3027,1.068,0.7233,3.5526,1.3385,1.1366,1.0775,4.7294,1.8704,1.5611,1.2979,0.6567,0.6974,0.6847,0.5573,50.1,875.77,634.25,1,1,2025-10-01 06:32:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:33:20,585.76,3.1685,243.87,7.0626,21.188000000000002,243.96,245.1,242.55,423.18,420.92,423.05,422.3,8.3191,7.1774,5.6915,1.2955,1.1527,0.7203,4.0615,1.5582,1.3263,1.177,5.1692,2.0295,1.7592,1.3805,0.615,0.6393,0.6559,0.522,50,875.84,634.3,1,1,2025-10-01 06:33:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:34:05,585.8,3.1116,238.57,6.7849,20.3548,238.48,237.89,239.36,411.81,412.42,415.42,413.77,7.9472,6.7066,5.701,1.3094,1.0536,0.7485,3.7024,1.3661,1.1956,1.1407,4.8553,1.8952,1.5954,1.3646,0.6433,0.6919,0.6611,0.5486,50,875.9,634.35,1,1,2025-10-01 06:34:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:34:50,585.84,3.0953,236.95,6.6965,20.0896,236.68,236.85,237.33,409.24,409.71,412.27,410.26,7.8285,6.683,5.5781,1.2868,1.0602,0.7483,3.5949,1.3296,1.1733,1.092,4.7596,1.8528,1.5829,1.3239,0.6524,0.6954,0.6704,0.5652,50,875.96,634.39,1,1,2025-10-01 06:34:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:35:35,585.88,3.1437,241.74,6.9508,20.8525,241.49,242.04,241.7,417.94,417.73,420.43,420.09,8.1192,6.9721,5.7612,1.2999,1.0973,0.7466,3.9185,1.4637,1.2797,1.1752,5.0407,1.9607,1.6875,1.3925,0.6257,0.664,0.6509,0.5362,50,876.02,634.44,1,1,2025-10-01 06:35:50,17.400000000000002,76.9,,1,0,,0
2025-10-01 06:36:20,585.92,3.0563,232.67,6.5009,19.5028,232.18,232.94,232.91,401.94,402.69,404.36,403.71,7.5885,6.5287,5.3856,1.2582,1.0487,0.7494,3.3352,1.2301,1.0995,1.0056,4.5371,1.7619,1.5208,1.2544,0.6756,0.715,0.6902,0.5975,50,876.08,634.49,1,1,2025-10-01 06:36:50,17.400000000000002,76.9,,1,0,,0
2025-10-01 06:37:05,585.96,3.1021,237.2,6.7153,20.1459,237.39,237.19,237.04,410.26,409.75,412.51,410.76,7.9065,6.7117,5.5277,1.2926,1.0772,0.7322,3.6133,1.3571,1.1699,1.0863,4.7792,1.8769,1.5919,1.3103,0.6513,0.6897,0.6773,0.5589,50,876.14,634.53,1,1,2025-10-01 06:37:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:37:50,586,3.1182,239.44,6.817,20.451,239.55,239.21,239.56,413.88,413.65,416.61,414.52,8.0016,6.7924,5.657,1.3028,1.077,0.7384,3.7509,1.4015,1.2138,1.1357,4.8968,1.9168,1.6248,1.3552,0.6392,0.6808,0.6637,0.5451,50,876.2,634.58,1,1,2025-10-01 06:37:50,17.400000000000002,77,,1,0,,0
2025-10-01 06:38:35,586.03,3.0536,233.38,6.5225,19.5676,233.46,232.81,233.88,403.14,403.39,406.15,404.28,7.6656,6.473,5.429,1.2802,1.036,0.7375,3.3724,1.2468,1.0922,1.0333,4.5663,1.7896,1.507,1.2697,0.6712,0.7163,0.6881,0.5809,50,876.26,634.62,1,1,2025-10-01 06:38:50,17.400000000000002,76.8,,1,0,,0
2025-10-01 06:39:20,586.07,3.0963,237.2,6.7064,20.1194,236.96,236.88,237.78,409.8,410.1,412.64,410.86,7.8158,6.6951,5.6085,1.2867,1.0567,0.7528,3.609,1.3282,1.1803,1.1005,4.7716,1.852,1.5859,1.3336,0.6511,0.6958,0.667,0.5646,50,876.32,634.67,1,1,2025-10-01 06:39:50,17.400000000000002,76.8,,1,0,,0
2025-10-01 06:40:05,586.11,3.1274,239.17,6.815,20.4452,239.75,239.36,238.41,414.06,413.05,415.64,414.09,8.0412,6.8408,5.5632,1.3002,1.1038,0.7234,3.7384,1.4197,1.2073,1.1114,4.8916,1.9279,1.6374,1.3263,0.6416,0.6753,0.6747,0.5455,50,876.38,634.72,1,1,2025-10-01 06:40:50,17.400000000000002,76.8,,1,0,,0
2025-10-01 06:40:50,586.15,3.112,237.49,6.7201,20.1605,236.86,238.24,237.37,410.47,411.19,412.34,410.16,7.8061,6.8072,5.5472,1.2688,1.0861,0.7571,3.6206,1.3415,1.2022,1.077,4.7874,1.849,1.6217,1.3167,0.6518,0.6871,0.6703,0.5751,50.1,876.44,634.76,1,1,2025-10-01 06:40:50,17.400000000000002,76.8,,1,0,,0
2025-10-01 06:41:35,586.19,3.1764,243.88,7.1025,21.3076,245.27,242.73,243.66,421.87,420.48,424.91,422.37,8.4778,6.9313,5.8985,1.3708,1.1,0.7056,4.0817,1.5591,1.2707,1.252,5.199,2.0793,1.6824,1.4372,0.6141,0.6603,0.6545,0.4909,50,876.5,634.81,1,1,2025-10-01 06:41:50,17.400000000000002,76.8,,1,0,,0
2025-10-01 06:42:20,586.23,3.1172,239.14,6.7931,20.3793,238.68,239.56,239.18,413.22,413.56,415.79,414.15,7.9327,6.8377,5.6089,1.2842,1.0866,0.7465,3.7253,1.3874,1.2235,1.1144,4.873,1.8934,1.638,1.3415,0.6417,0.6792,0.664,0.5565,50,876.56,634.86,1,1,2025-10-01 06:42:50,17.400000000000002,76.9,,1,0,,0
2025-10-01 06:43:05,586.27,3.0868,237.1,6.6824,20.0472,236.63,237.43,237.25,409.67,410.26,412.07,410.56,7.8099,6.7031,5.5342,1.276,1.0667,0.7441,3.5942,1.3334,1.1791,1.0817,4.7526,1.8481,1.5915,1.313,0.6515,0.6914,0.6708,0.5667,50.1,876.62,634.9,1,1,2025-10-01 06:43:50,17.3,76.8,,1,0,,0
2025-10-01 06:43:50,586.3,3.133,242.48,6.9801,20.9403,242.14,242.59,242.73,419.13,419.55,421.29,420.06,8.1613,6.9814,5.7976,1.3025,1.0897,0.7407,3.9718,1.4818,1.2938,1.1962,5.077,1.9762,1.6936,1.4073,0.6193,0.6601,0.6442,0.5264,50,876.68,634.95,1,1,2025-10-01 06:43:50,17.3,76.8,,1,0,,0
